employee_id,name,branch_id,department_id,hire_date,email,phone,job_title,address,birth_date,gender,salary,employment_status,shift,emergency_contact_name,emergency_contact_phone,performance_rating
EMP017,Anthony Park,BR004,D001,2023-08-21,amandaphillips@example.org,(585)523-2248,Stock Associate,"054 Silva Unions Apt. 526, New Valeriechester, TN 04214",1967-04-21,Male,100597.05,Full-time,Night,Heather Welch,(976)931-0637,1.9
EMP018,Timothy Silva,BR002,D006,2020-06-14,misty79@example.org,888.329.4377x1892,Cashier,"98457 Christopher Unions, West Mark, DC 05861",2000-08-05,Male,38088.04,Full-time,Afternoon,Justin Jenkins,669-691-2528x154,1.3
EMP019,Kimberly Carpenter,BR004,D001,2021-02-11,robertramirez@example.com,001-251-838-0201x62411,Customer Service Rep,"487 Janice Trafficway, New Deborahton, IL 95910",1996-10-04,Male,94708.07,Contract,Night,Dr. Dana George,+1-406-323-2431x76430,3.3
EMP020,Yolanda Oliver,BR004,D006,2023-01-31,laura01@example.com,(337)839-9786x834,Customer Service Rep,"04847 White Union, Campbellton, MP 49262",1973-05-20,Male,41319.1,Contract,Afternoon,Cindy Baker,789-937-3337,2.4
EMP021,Donald Bates,BR007,D003,2020-09-18,valentinelori@example.com,(360)224-2917x8180,Cashier,"8763 Williams Walk, Ellisontown, PW 35356",1989-12-18,Other,108414.66,Contract,Morning,Robert Bryan,426-299-3291,1.2
EMP022,Scott Davenport,BR006,D006,2022-04-06,jimmy36@example.org,782-457-2607x936,Cashier,"16769 Hernandez Gateway, New Bobbyton, OR 63447",1985-02-24,Male,52990.81,Contract,Afternoon,Keith Leonard,+1-809-909-1783x0587,1.6
EMP023,Craig Boyd MD,BR003,D001,2024-01-31,xstone@example.org,001-596-503-7124x00041,Store Manager,"601 Joseph Circle, Dylanside, KS 75706",1998-10-03,Male,83175.69,Contract,Morning,Chase Arroyo,7164713966,1.2
EMP024,Valerie Hill,BR001,D007,2022-11-15,ilawson@example.com,(595)264-3447x39450,Store Manager,"72598 Tanner Island Apt. 692, Port Christopherbury, NH 27521",2001-09-19,Male,78769.69,Part-time,Morning,Erica Smith,001-300-624-5658x65537,4.5
EMP025,Sarah Gibson,BR001,D001,2021-02-19,garciamaria@example.com,(984)640-4302,Cashier,"1531 Melissa Plaza, Lake Saraborough, PA 21393",1990-09-07,Female,61824.37,Part-time,Afternoon,Mckenzie Gill,964-473-0643,2.7
EMP026,Tammy Campbell,BR008,D001,2023-04-15,lori51@example.net,+1-944-947-9282x15665,Stock Associate,"4582 Scott Mountains Apt. 535, North Veronica, SD 82513",1985-05-29,Male,146245.12,Contract,Night,Jose Williams,(839)315-4201x3605,3.2
EMP027,Claudia Hill,BR006,D001,2024-05-18,fosterkenneth@example.com,001-384-691-1769,Sales Associate,"2384 Thomas River Apt. 536, Calhounland, GU 87909",2003-09-03,Female,90342.05,Contract,Morning,Jose Montgomery,+1-655-233-3237x4722,1.2
EMP028,Ryan Weber,BR002,D006,2024-05-02,julie10@example.com,+1-200-444-2803,Cashier,"5753 Larson Highway, Lake Kellyfort, MS 60646",1973-03-14,Other,38155.3,Full-time,Afternoon,Todd Jackson,+1-290-777-9178,1.5
EMP029,Desiree Hansen,BR004,D004,2020-11-24,jwilson@example.com,001-570-829-5550x7280,Cashier,"17475 Joel Glen, Lucasmouth, CA 97484",1971-11-11,Other,39838.01,Contract,Night,Brandon Perez,3717158188,3.3
EMP030,Collin Choi,BR006,D007,2021-09-19,crosbyrobert@example.net,(770)888-4843x610,Store Manager,"0863 Clark Union Apt. 812, West Annaview, ID 52244",1975-03-16,Other,115943.02,Full-time,Afternoon,Kristin Jackson,369.926.6535,2.6
EMP031,Jason Wilson,BR005,D003,2020-09-22,villegasleslie@example.net,001-401-731-8273x5973,Cashier,"4824 Rice Brook, Davidview, VI 99380",1989-07-07,Male,84994.26,Contract,Morning,Jennifer Gonzalez,001-836-851-1275,1.3
EMP032,Robert Anderson,BR004,D004,2023-09-08,christophermartinez@example.net,901-625-3071,Store Manager,"47037 Anderson Place, East Richardfort, KS 32089",1965-09-22,Female,135703.7,Full-time,Afternoon,Stephen Hanson,814.263.4144,2.1
EMP033,Alejandro Glass,BR008,D006,2023-06-05,benjaminmitchell@example.net,5185709937,Stock Associate,"PSC 9225, Box 4682, APO AP 65961",1982-09-27,Other,148062.4,Contract,Night,Whitney Green,778.445.6517x34159,1.0
EMP034,Kyle Boyd,BR005,D007,2020-12-31,kking@example.org,+1-251-741-8752x04894,Cashier,"30857 Nancy Crossing, New Steven, MD 11544",1974-10-19,Male,61735.91,Full-time,Night,Brandon Jones,(411)885-5719,3.2
EMP035,Kelsey Hall,BR005,D001,2021-05-30,norma02@example.net,902.660.4655x4327,Store Manager,"418 Janet Viaduct Suite 079, Ramosport, KS 94445",1968-05-19,Other,71145.63,Contract,Night,Sharon Willis,387-922-8227,4.4
EMP036,Carly Wilson,BR008,D001,2023-10-01,jennifertucker@example.org,413-483-5065,Cashier,"699 Bass Meadow Apt. 029, Christopherhaven, MI 44372",1989-11-01,Male,106114.13,Part-time,Morning,Morgan Mitchell,260-380-6573x079,1.0
EMP037,Scott Garrison,BR003,D005,2020-09-14,nparker@example.com,707-788-9169x99756,Stock Associate,"8188 Johnson Ridges Apt. 528, Lake Carriehaven, FM 88892",1980-03-07,Male,118947.71,Contract,Night,Penny Evans,277-854-7261,2.7
EMP038,Mrs. Vanessa Collier,BR001,D001,2022-04-25,harrisonlarry@example.com,+1-407-700-2402x872,Store Manager,"55536 Janice Shores Apt. 045, Lake Dana, TX 33817",1963-11-09,Other,34323.38,Part-time,Night,Katherine Thomas,888.296.9004,3.2
EMP039,Jonathan Little,BR007,D001,2022-10-14,ianrobinson@example.net,559-674-3892x20719,Stock Associate,"652 Nancy Estates, Margaretshire, FL 48239",1972-02-05,Female,137877.78,Full-time,Afternoon,John Martinez,976-346-2569x498,1.8
EMP040,Jonathan Oneill,BR004,D005,2024-09-13,carpenterryan@example.com,(302)723-8535x37338,Stock Associate,"54289 Mcdonald Forks Suite 761, New Bryanville, CO 32050",1967-08-09,Other,136096.16,Part-time,Night,Jennifer Hudson,(898)505-9653x2657,4.0
EMP041,Courtney Ali,BR004,D006,2020-10-15,barrymcdaniel@example.net,219.936.5305,Store Manager,"91041 Koch Ridge, Donovanberg, MO 59646",1980-05-14,Female,32974.36,Contract,Afternoon,Brian Brown,968.649.4077,4.1
EMP042,Nicholas Ferguson,BR007,D006,2022-01-15,jeffrey19@example.net,932.296.1151,Store Manager,"USNV Spence, FPO AP 14852",1960-04-03,Female,49103.74,Contract,Morning,Emily Miller,257.977.2452x9936,2.5
EMP043,Jacqueline Pratt,BR001,D006,2023-06-05,xnorris@example.org,(811)894-7305x7971,Store Manager,"1039 Jeffrey Unions Apt. 341, West Thomastown, CO 21015",1971-05-16,Male,127990.39,Part-time,Afternoon,Erica Castillo,5032740985,2.2
EMP044,Rebecca Thornton,BR004,D001,2021-01-20,alejandrorogers@example.com,001-766-399-8086,Store Manager,"19189 Tanner Flats, South Jose, MS 24402",1982-12-17,Female,69391.43,Full-time,Afternoon,Alexander Jackson,953-442-0058x6597,2.4
EMP045,James Ramirez,BR007,D005,2021-10-16,omar06@example.com,665-709-5636,Sales Associate,"90656 Steven Spurs, New Aliciashire, NE 75027",1959-12-30,Female,142708.46,Full-time,Afternoon,April Moore,001-871-435-6058x3131,1.7
EMP046,John Villa,BR005,D001,2021-10-05,jeffrey55@example.net,625-488-3962x43516,Sales Associate,"327 Brown Bypass, Michaelshire, MT 87923",1985-08-23,Female,71482.45,Part-time,Afternoon,Renee Stafford,718-696-1589,3.4
EMP047,Hector Johnson,BR002,D002,2022-09-10,hbrown@example.org,951.590.2665x543,Sales Associate,"689 Kyle Loaf, Paulshire, DC 33984",1963-05-15,Male,60566.7,Contract,Afternoon,Michelle Marshall,5483747373,1.0
EMP048,Vanessa Gutierrez,BR004,D002,2024-08-12,morriskathleen@example.net,001-597-502-7083x526,Cashier,"487 Tanya Roads, Michelleland, GA 61582",1996-01-23,Other,140492.5,Contract,Afternoon,Matthew Lloyd,(880)366-1092x51268,3.7
EMP049,Karen Garcia,BR002,D006,2021-08-07,paula36@example.com,(662)932-8367x92923,Stock Associate,"379 Anderson Flat Suite 382, Martinville, MH 45767",1999-10-27,Other,67114.16,Part-time,Afternoon,Gabrielle Mitchell,395.580.6062,2.6
EMP050,James Phillips,BR005,D004,2024-07-28,igonzalez@example.net,001-433-414-1917x5693,Store Manager,"4143 Jones Radial, East Donaldborough, KS 25019",1999-08-11,Female,109791.53,Part-time,Night,Jeffery White,001-479-426-2053x550,4.0
EMP051,Crystal Choi,BR003,D005,2020-10-12,joseph55@example.net,+1-309-842-5592x868,Stock Associate,"92272 Scott Plaza Suite 006, Janiceton, AL 76470",1999-09-08,Female,95752.47,Full-time,Afternoon,Ronald Taylor,+1-432-208-1754x723,2.1
EMP052,Robert Anderson,BR007,D006,2023-07-15,aaronflores@example.com,3623774420,Sales Associate,"5921 Preston Views Apt. 487, New Erin, LA 06523",1981-01-30,Other,68669.91,Part-time,Afternoon,Amber Fleming,3514713633,3.7
EMP053,Jennifer Oliver,BR008,D006,2024-09-17,andreamorales@example.com,001-496-435-0428x042,Store Manager,"5308 Callahan Groves Apt. 766, Lake Jamesborough, ME 56430",1989-02-26,Other,40175.46,Contract,Night,Michael Davis,(476)218-0166x3289,3.5
EMP054,Brian Berg,BR006,D001,2022-06-26,danielle67@example.org,827.442.2188x07182,Store Manager,"39644 Pamela Field Apt. 485, Lake Dianaberg, CT 76364",1961-07-10,Other,67250.34,Full-time,Morning,Stephanie Archer,+1-300-313-3716,1.1
EMP055,Jesse Abbott,BR004,D007,2023-05-13,williamjohnson@example.com,001-645-225-5266x292,Sales Associate,"32525 Bryan Fields, Stephaniehaven, MS 77863",1977-07-15,Male,84649.94,Contract,Night,Peter Melendez,(248)820-9110x262,1.8
EMP056,Jacob Ali,BR007,D003,2024-01-29,james28@example.com,(338)366-9996x485,Store Manager,"215 Caroline Bridge Apt. 571, Lake Kristinstad, TX 56381",2003-07-13,Male,108726.96,Full-time,Morning,Luis Carter,579-339-8330,4.1
EMP057,Debbie Davis,BR004,D001,2024-01-01,stephensleon@example.org,390.339.2035,Sales Associate,"0574 Scott Passage Apt. 793, Williamsside, DC 52046",1987-04-21,Female,36026.21,Full-time,Morning,Crystal Key,546-873-9692x0215,2.8
EMP058,Natalie Nelson,BR008,D005,2022-11-21,corey89@example.org,390-882-0157,Sales Associate,"2875 Meadows Spring Suite 840, Sarahville, KY 70230",1967-06-30,Other,68075.75,Part-time,Night,Jessica Howard,623-415-7449x9718,4.3
EMP059,David Dunlap,BR007,D006,2020-03-24,veronicalivingston@example.org,(871)711-2446,Sales Associate,"74788 Gail Orchard, Port Kelly, ND 88753",1969-12-30,Female,137664.97,Contract,Afternoon,Elizabeth Jackson,551.390.7374x3231,2.8
EMP060,Ruth Rivera,BR004,D006,2023-06-09,daniel29@example.net,001-576-503-6714x1182,Stock Associate,"225 Ortega Mills, Annachester, NM 39421",1996-11-25,Other,88151.64,Full-time,Afternoon,Gwendolyn Ashley,+1-891-556-2362x2757,2.8
EMP061,Susan Weeks,BR005,D001,2022-03-05,dross@example.org,(648)514-5598x21891,Stock Associate,"7618 Thomas Springs Apt. 747, Jillianborough, GA 31720",1987-09-05,Female,137163.22,Full-time,Morning,Cindy Smith,402.922.3657,1.6
EMP062,Tracy Williams,BR007,D005,2022-12-28,emily90@example.com,462-470-2637x17034,Store Manager,"58878 Evan Lodge, Lindsayview, IA 51794",1978-03-11,Male,79784.15,Part-time,Night,Bruce Mitchell,001-974-767-7206x58898,2.9
EMP063,Matthew Hawkins,BR001,D001,2021-05-15,wchoi@example.org,481.611.8840x0525,Customer Service Rep,"37063 Fernandez Radial Apt. 891, South Jonathan, GU 70524",1966-05-27,Female,138580.62,Contract,Night,Monica Fletcher,001-471-253-9299x41758,1.1
EMP064,Ronald Davis,BR007,D003,2020-03-29,hutchinsonkelly@example.net,874-424-0660x7980,Stock Associate,"USS Phillips, FPO AE 79642",1982-10-31,Female,120417.02,Part-time,Night,Kimberly Payne,001-944-403-5861,4.0
EMP065,Kayla Cook,BR004,D003,2020-11-03,heather53@example.org,(536)821-9265x52037,Stock Associate,"7250 Steven Rest, Washingtonburgh, AL 62999",1998-06-17,Female,88277.04,Part-time,Afternoon,Ashley Smith,001-610-825-9800,3.7
EMP066,Cathy Shaw,BR007,D006,2023-09-16,carterjeremy@example.net,(572)819-8244x356,Customer Service Rep,"905 Eaton Streets, Phyllisburgh, MN 16359",1994-04-14,Male,147686.64,Contract,Morning,Brianna Campbell,6043276612,4.6
EMP067,Charles Harrison,BR001,D001,2023-06-26,lparker@example.org,+1-600-690-5689,Customer Service Rep,"527 Sarah Station Apt. 507, Kimberlytown, AZ 83785",1971-10-17,Male,134022.16,Full-time,Morning,Dennis Hansen,+1-687-350-8505x2833,2.0
EMP068,Melanie Blake,BR006,D001,2022-04-25,williamsjennifer@example.com,838-654-5507x63739,Stock Associate,"240 Robert Cliff Apt. 431, North April, GU 32839",1960-11-04,Female,121347.56,Part-time,Afternoon,Katie Collins,001-344-519-6364x256,4.0
EMP069,Robert Crawford,BR007,D001,2022-08-29,hsmith@example.net,907.643.8764x9331,Cashier,"7923 White Overpass Apt. 315, South Christopherbury, MO 47080",1963-04-01,Female,32325.99,Contract,Morning,Dylan Caldwell,757-238-3747,5.0
EMP070,Antonio Smith,BR006,D001,2024-04-16,cynthia85@example.net,(918)959-4479x8091,Cashier,"9303 Clark Knolls Suite 584, South Barbaraton, PA 13129",1991-06-03,Other,34830.98,Full-time,Morning,Sarah Sutton,933-632-9336,1.8
EMP071,Nicholas Miller,BR001,D005,2020-04-25,manuel53@example.net,636.510.7680x291,Store Manager,"1898 John Neck, Garciafort, GA 38894",1980-06-09,Male,86827.33,Full-time,Night,Dr. Nancy Howard,471.936.7850x998,4.8
EMP072,Allison Chen,BR008,D005,2020-05-30,shawn11@example.com,276.276.7480x2459,Stock Associate,"USNV Clay, FPO AE 59083",1966-05-29,Male,102707.12,Contract,Night,Diane Davis,694.745.3892,1.5
EMP073,Charles Sanchez,BR003,D007,2023-01-12,pgaines@example.com,+1-536-619-3328,Cashier,"97361 Kenneth Crescent, Robertside, CA 93847",1962-01-20,Other,33081.41,Part-time,Night,Nathan Conner IV,+1-203-531-0552x42019,3.7
EMP074,Erik Sexton,BR007,D002,2023-09-30,jacobcastro@example.net,001-386-265-7267x30989,Store Manager,"7472 Jensen Ville Suite 945, Lake Tammymouth, TX 05564",1995-06-14,Male,101051.74,Contract,Morning,Dr. Loretta Jones,868.487.1984x1967,1.4
EMP075,Stephen Kramer,BR005,D006,2021-07-18,hector53@example.com,627-989-4389,Sales Associate,"Unit 2575 Box 8182, DPO AE 23404",1986-01-26,Male,125547.27,Contract,Morning,Paul Gill,(251)748-4516,2.4
EMP076,Laurie Jackson,BR007,D005,2020-04-22,ernest02@example.org,4624294965,Cashier,"950 Sandoval Grove, Rodriguezbury, AS 56029",1968-05-04,Other,107705.19,Full-time,Afternoon,Manuel Lynn,+1-685-234-0784x803,4.3
EMP077,Jacob Osborn,BR002,D003,2021-05-06,tracymata@example.org,(957)442-6500,Stock Associate,"635 Fowler Valleys Suite 200, Lake Juliemouth, CO 99042",1986-10-21,Other,136989.0,Part-time,Night,Catherine Dunn,514-801-5175x36984,1.6
EMP078,Bruce Fernandez,BR003,D006,2022-03-21,rangelamber@example.com,+1-704-478-8062x89898,Stock Associate,"0975 Williams Islands Suite 087, Tracyshire, NJ 87122",1966-07-27,Other,126983.91,Contract,Afternoon,Steven White,+1-666-844-5071x1021,2.9
EMP079,Brenda Sweeney,BR005,D002,2024-01-16,bailey02@example.com,+1-520-946-3026,Store Manager,"32052 Michael Greens Suite 694, West Dennishaven, IA 38299",1974-08-26,Male,63471.39,Part-time,Morning,Frank Castro,+1-661-989-7521x5772,4.0
EMP080,Michelle Walters,BR007,D002,2024-06-04,tmorris@example.org,210-238-2683,Customer Service Rep,"35860 Emily Glens Apt. 792, East Nathanhaven, MI 82463",1965-04-09,Female,51820.78,Full-time,Afternoon,Joseph Jones,+1-463-514-7700x946,4.2
EMP081,Daniel Ramirez,BR006,D001,2020-09-02,ashleysullivan@example.org,+1-298-871-0339,Sales Associate,"1019 Whitney Lakes Apt. 487, Hendersontown, KY 00947",1985-04-19,Other,135612.88,Contract,Morning,Jeffrey Watts,+1-617-897-3261,3.1
EMP082,Bradley Booth,BR004,D001,2021-06-29,elizabeth04@example.net,885.657.7517x8958,Customer Service Rep,"Unit 9881 Box 1537, DPO AP 74357",1960-04-25,Female,96621.15,Full-time,Night,Sara Medina,465.811.2641x34578,2.9
EMP083,Charles Harris,BR008,D003,2023-06-18,fpetty@example.com,(858)647-6560,Cashier,"84870 Emily Ramp Suite 292, South Thomasmouth, OK 78355",1995-08-03,Male,65308.27,Part-time,Night,Laura Frazier,001-987-738-8796x1925,2.0
EMP084,Anthony Davies,BR006,D003,2020-05-16,cingram@example.net,001-466-252-0467,Sales Associate,"257 Shane Ways, Andersonstad, AR 86508",1969-12-18,Female,81060.46,Contract,Night,John Burke,373.525.7129x21355,2.3
EMP085,Charles Taylor,BR008,D001,2023-03-07,tracy51@example.net,258-252-5788,Stock Associate,"576 Brown Creek, Webbchester, GU 16901",1990-01-06,Male,44478.71,Full-time,Afternoon,Alexa Cruz,7647809651,1.5
EMP086,Connie Greene,BR003,D001,2023-11-22,bcollier@example.org,467.607.6970,Customer Service Rep,"5236 Justin Prairie Apt. 587, Port Carlton, IA 77774",1990-09-09,Female,116950.2,Contract,Night,Joseph Walker,(421)855-9953x2923,2.1
EMP087,Mary Arnold,BR002,D006,2020-03-20,sabrinajohnson@example.com,759.397.2659,Stock Associate,"639 Teresa Fork, Danielville, IN 67407",1985-02-19,Male,73305.73,Part-time,Morning,Mark Bishop,+1-392-625-0168,3.8
EMP088,Phillip Smith,BR003,D001,2021-08-16,aaron79@example.com,001-370-745-0253x426,Cashier,"7371 Orr Drives Apt. 199, Dayport, FM 27175",2002-04-08,Other,65056.4,Full-time,Night,Stephanie Davis,(748)833-4561x92336,4.5
EMP089,Lance Sellers,BR008,D001,2020-09-12,williamsdavid@example.com,549.922.0701x855,Cashier,"35604 Mitchell Pike, Danielview, DE 59859",2000-03-22,Other,64120.72,Part-time,Afternoon,Michael Cole,+1-462-909-1337x52967,2.4
EMP090,Tammy Allen,BR001,D001,2021-05-21,uhorne@example.net,(675)991-0682x74432,Customer Service Rep,"335 Erik Keys, Port Kyle, MS 18965",2000-04-20,Male,128653.88,Part-time,Afternoon,Ana Merritt MD,848-365-7448,1.3
EMP091,Timothy Vaughan,BR001,D001,2023-07-26,edwinking@example.net,(270)956-4629,Sales Associate,"34056 Perez Heights Suite 044, Garciabury, NC 20664",1977-02-04,Female,40221.71,Full-time,Morning,Jordan Nicholson,(981)977-9168,3.2
EMP092,William Griffin,BR007,D005,2024-11-03,gomeznicole@example.com,353.776.0161,Sales Associate,"USCGC Smith, FPO AE 48659",1999-02-17,Male,123083.22,Part-time,Afternoon,Troy Hernandez,(681)354-3848x060,4.6
EMP093,Steve Graves,BR005,D006,2024-10-14,vwoodard@example.com,(275)258-0545x75678,Customer Service Rep,"81416 Ford Manor, East Kristenview, PR 39319",1997-06-17,Female,98235.54,Full-time,Night,Elijah Roberts,8125513941,4.8
EMP094,Andrew Perry,BR002,D007,2023-09-07,mahoneylori@example.org,001-234-283-0002x509,Store Manager,"705 Sierra Dam, Lake Jessicafort, AK 05789",1998-08-18,Other,55323.02,Contract,Morning,Megan Garcia,290.810.6479x1926,1.6
EMP095,Jerry Blackburn,BR003,D004,2020-02-22,ibush@example.org,+1-698-420-1460x1511,Store Manager,"266 Danielle Junction, Jennaton, VT 89994",1994-11-02,Male,79022.11,Contract,Night,Meredith Steele,458.530.9561,2.9
EMP096,Anthony Moyer,BR001,D001,2023-07-22,vasquezbenjamin@example.net,3002475626,Stock Associate,"56184 Kennedy Manor Suite 497, Lake Shirleyton, WI 42847",1973-01-10,Other,133152.81,Full-time,Night,Philip Kerr,734.209.8985,1.9
EMP097,Dylan Pratt,BR005,D006,2024-09-25,rosalesann@example.org,616.804.0963,Sales Associate,"USS Ortega, FPO AP 72425",1970-07-29,Other,126468.68,Full-time,Afternoon,Anna Davis,+1-255-449-6031,1.5
EMP098,Erica Wood,BR004,D005,2021-04-25,christopher40@example.org,(940)770-1772,Stock Associate,"053 Albert Gateway Apt. 604, Jennyland, SD 45066",1993-11-02,Male,38569.18,Full-time,Afternoon,Mrs. Rachel Jones,632-500-4862x12926,3.4
EMP099,Jasmine Fuller,BR005,D003,2024-01-18,wjones@example.org,(255)477-7273x7572,Customer Service Rep,"PSC 0380, Box 7786, APO AP 02610",1988-01-25,Other,66490.94,Part-time,Afternoon,Thomas Collier,(304)909-7730,3.0
EMP100,Angel Rowe,BR008,D003,2023-08-05,levydeanna@example.com,840.259.0607,Sales Associate,"774 Dixon Tunnel, Stephanieberg, OK 36736",2001-05-19,Male,136730.75,Contract,Afternoon,Rebecca Schultz,001-765-818-5646x0882,3.4
